route_id,direction,stop_name,latitude,longitude
962,HEEN,Palepelstraat,51.019923,3.640881
962,HEEN,Mortelputstraat,51.021252,3.64585
962,HEEN,Heirbaan,50.957007,3.453671
962,HEEN,Pontweg,50.934419,3.629085
962,HEEN,Pontweg,50.934419,3.629085
962,HEEN,Bernstraat,50.93876,3.631813
962,HEEN,Bernstraat,50.93876,3.631813
962,HEEN,Boswegel,50.925465,3.480461
962,HEEN,Overweg,50.930593,3.471219
962,HEEN,Olsenestraat,50.926739,3.463965
962,HEEN,Sporthal,50.918804,3.450632
962,HEEN,Industriezone,50.908044,3.471223
962,HEEN,Zonnelaan,50.914207,3.461707
962,HEEN,Gaverbeekstraat,50.908648,3.421291
962,HEEN,Toverhoek,50.942448,3.4654
962,HEEN,Vrijstraat,50.942567,3.498239
962,HEEN,Bauterstraat,50.93715,3.481324
962,HEEN,Brandstraat,50.950279,3.499338
962,HEEN,Sparrenstraat,50.940617,3.507501
962,HEEN,Bokstraat,50.957305,3.512555
962,HEEN,Dorp,50.959041,3.48737
962,HEEN,Guldepark,50.964264,3.493264
962,HEEN,Voordestraat,51.071574,3.554732
962,HEEN,Karmenhoekstraat,51.070488,3.518602
962,HEEN,Dalestraat,51.063852,3.526148
962,HEEN,Vaartstraat,51.087379,3.527401
962,HEEN,Zomergemstraat,51.09862,3.572066
962,HEEN,Rusthuis Balade,51.080959,3.584005
962,HEEN,Lostraat,51.088569,3.588647
962,HEEN,Musschaverstraat,51.056258,3.59552
962,HEEN,Maalderijstraat,51.061166,3.565717
962,HEEN,Molenkouterslag,51.081436,3.572423
962,HEEN,Biezestraat,51.075592,3.587886
962,HEEN,Veldeken,51.049787,3.521488
962,HEEN,Biebuyckstraat,51.048621,3.532292
962,HEEN,Ten Dries,51.061976,3.581049
962,HEEN,Wulfhoek,51.046858,3.55046
962,HEEN,Kerk,51.034244,3.516229
962,HEEN,Kerkhof,51.205151,3.809913
962,HEEN,Blaarstraat,51.203716,3.845379
962,HEEN,Oudenburgse Sluis,51.210871,3.856041
962,HEEN,Sint-Eloipolder,51.207912,3.877197
962,HEEN,Sint-Eloipolder,51.207912,3.877197
962,HEEN,Papdijk,51.200966,3.903485
962,HEEN,Papdijk,51.200966,3.903485
962,HEEN,Kalvebrug,51.166261,3.886109
962,HEEN,Kalvebrug,51.166261,3.886109
962,HEEN,Domein Zwembad,51.151717,3.899502
962,HEEN,Domein Zwembad,51.151717,3.899502
962,HEEN,Langelede,51.187078,3.855247
962,HEEN,Langelede,51.187078,3.855247
962,HEEN,Kreekstraat,51.202479,3.819806
962,HEEN,Winkelstraat,51.195103,3.810162
962,HEEN,Weide,51.184347,3.890749
962,HEEN,Weide,51.184347,3.890749
962,HEEN,Melkerij,51.176885,3.858215
962,HEEN,Achterhoek,51.186836,3.880635
962,HEEN,Achterhoek,51.186836,3.880635
962,HEEN,Tempeliersstraat,51.042979,3.566173
962,HEEN,Kruiskenshoeve,51.233272,3.540564
962,HEEN,Lijsterhoekstraat,51.155281,3.41629
962,HEEN,Donk Poermolen,51.212665,3.385433
962,HEEN,Vossenhol,51.195402,3.418858
962,HEEN,Veldeken,51.199784,3.436875
962,HEEN,Perka,51.198974,3.466049
962,HEEN,Plassendale,51.165127,3.514157
962,HEEN,Appelboom,51.174853,3.506746
962,HEEN,Kruisken,51.19025,3.494666
962,HEEN,Hoeke,51.19894,3.490476
962,HEEN,Vierklaver,51.208852,3.483725
962,HEEN,Warande,51.204278,3.441223
962,HEEN,Baaikensedestraat,51.179471,3.461011
962,HEEN,Fortuinstraat,51.241477,3.441086
962,HEEN,Mottedreef,51.216809,3.435664
962,HEEN,Kleine Warmestraat,51.216164,3.456376
962,HEEN,Weibroekkouter,51.091544,3.459574
962,HEEN,Cafe Den Hert,51.097327,3.497945
962,HEEN,Pauwelsbos,51.104322,3.509707
962,HEEN,Overzet,51.106526,3.466399
962,HEEN,Cardijnlaan,51.107985,3.430949
962,HEEN,Ten Dauwe,51.113092,3.39883
962,HEEN,Station,51.107746,3.386645
962,HEEN,Kerk,51.099448,3.371486
962,HEEN,Polderdreef,51.095487,3.36719
962,HEEN,Molendreef,51.09135,3.37203
962,HEEN,Sparhoekdreef,51.09538,3.378196
962,HEEN,Bollebek,51.078267,3.409751
962,HEEN,Sterrewijk,51.074357,3.424697
962,HEEN,Sportcentrum,51.08253,3.438875
962,HEEN,Stratem,51.086759,3.434316
962,HEEN,Sint-Maria-Aalterstraat,51.090509,3.441373
962,HEEN,Patersveld,51.103076,3.424665
962,HEEN,Camping Isabel,51.098752,3.429655
962,HEEN,Wijkschool Drogenbroodstraat,51.095183,3.445618
962,HEEN,Knokstraat,51.036412,3.442362
962,HEEN,Molenhoek,51.037767,3.485244
962,HEEN,Aalterveld,51.06911,3.459814
962,HEEN,Venecolaan,51.104467,3.44144
962,HEEN,Leon Bekaertlaan,51.10092,3.448165
962,HEEN,Houtem,51.09624,3.448386
962,HEEN,Oostmolenstraat,51.10309,3.458281
962,HEEN,Oostmolen-Zuid,51.104876,3.465042
962,HEEN,Station,51.083708,3.488725
962,HEEN,Museumstraat,51.094363,3.495167
962,HEEN,Markettestraat,51.070555,3.494539
962,HEEN,Bosvijverdreef,51.072227,3.48096
962,HEEN,Corneliusparking,51.082873,3.446602
962,HEEN,Processieweg,51.08327,3.457046
962,HEEN,Geerstraat,51.08745,3.462091
962,HEEN,Veldemeersdreef,51.07594,3.460873
962,HEEN,Sporthal,51.146222,3.405316
962,HEEN,Eentveldstraat,51.148764,3.413726
962,HEEN,Langedonk,51.127305,3.404975
962,HEEN,Hoekestraat,51.117479,3.393353
962,HEEN,Stekelhoek,51.116286,3.416803
962,HEEN,Hemelrijk,51.136275,3.411806
962,HEEN,Berken,51.11791,3.504526
962,HEEN,Hoeksken,51.114943,3.476513
962,HEEN,Groen Ursel,51.13768,3.470571
962,HEEN,Rusthuis,51.131555,3.483052
962,HEEN,Hendelstraat,51.142797,3.484142
962,HEEN,Westvoordestraat,51.139291,3.440583
962,HEEN,Populierenhof,51.233816,3.459516
962,HEEN,Rapenbrug,51.226118,3.455891
962,HEEN,Malsemstraat,51.06248,3.472136
962,HEEN,Rivierenhof,51.22036,3.443405
962,HEEN,Buntelare,51.113778,3.404494
962,HEEN,Savooien,51.087504,3.360356
962,HEEN,Butswervestraat,51.212254,3.402249
962,HEEN,Koffiekan,51.16718,3.47313
962,HEEN,Oranje,51.21359,3.43368
962,HEEN,Cultureel Centrum,51.20279,3.48331
962,HEEN,Elckerlijc,51.157845,3.484566
962,HEEN,Adagio,51.092576,3.4455
962,HEEN,Helle,51.180672,3.473981
962,HEEN,Brug Noord,51.108823,3.439093
962,HEEN,Beekvijverdreef,51.077955,3.465282
962,HEEN,Tinhoutstraat,51.166695,3.400643
962,HEEN,Vrekkemstraat,51.122371,3.482345
962,HEEN,Drongengoedhoeve,51.149892,3.448987
962,HEEN,Moerhuizestraat,51.232706,3.472033
962,HEEN,Broekelken,51.2109,3.487533
962,HEEN,Koninkrijkzaal,51.202425,3.434068
962,HEEN,Molenstraat,51.196353,3.503601
962,HEEN,Kruispolderstraat,51.27692,3.534837
962,HEEN,Mollekot,51.287045,3.640449
962,HEEN,Calusdijk,51.277455,3.648437
962,HEEN,Maagd Van Gent,51.275958,3.666368
962,HEEN,Oostpolderkreek,51.260185,3.582309
962,HEEN,Zonne,51.249874,3.567673
962,HEEN,Waterstraatje,51.231848,3.558368
962,HEEN,Kruyersweg,51.224558,3.55751
962,HEEN,De Roos,51.223545,3.493797
962,HEEN,Galgestraat,51.2159,3.593721
962,HEEN,Stroomstraat,51.226847,3.639676
962,HEEN,Westermolenstraat,51.196093,3.618966
962,HEEN,Warande,51.182665,3.639332
962,HEEN,Sportpark,51.184372,3.578204
962,HEEN,Broeken,51.18803,3.540073
962,HEEN,Hogevorst,51.236688,3.65709
962,HEEN,Het Spoor,51.25551,3.693431
962,HEEN,Kasteeldijkstraat,51.225706,3.780782
962,HEEN,Heide,51.176607,3.686602
962,HEEN,Haven,51.271563,3.717736
962,HEEN,Roze,51.192822,3.581444
962,HEEN,Burggravenstraat,51.180602,3.563428
962,HEEN,Vlotweg,51.2441,3.515296
962,HEEN,Oosthoek,51.242352,3.48523
962,HEEN,Bevrijdingsstraat,51.293818,3.596016
962,HEEN,Scheutbos,51.179255,3.62147
962,HEEN,Kloosteraprilstraat,51.222195,3.766888
962,HEEN,Suikerplein,51.230043,3.794205
962,HEEN,Cafetaria Het Leen,51.166981,3.573791
962,HEEN,Verloren Hoek,51.176088,3.570522
962,HEEN,Molenbergplein,51.229634,3.758548
962,HEEN,Meuleken,51.257118,3.706803
962,HEEN,Helmstraat,51.190639,3.58666
962,HEEN,Lunterstraat,51.226261,3.71155
962,HEEN,Hazelarenhoek,51.218176,3.716256
962,HEEN,Oude Boekhoutestraat,51.240609,3.696877
962,HEEN,Barbarapolder,51.280687,3.680043
962,HEEN,Roodwegelken,51.23623,3.496879
962,HEEN,Administratief Centrum,51.182041,3.547104
962,HEEN,OBC De Waai,51.21383,3.58386
962,HEEN,Raverschootbrug,51.189573,3.527586
962,HEEN,Ambachtenstraat,51.179134,3.546761
962,HEEN,Dankaartsekestraat,51.199655,3.730886
962,HEEN,Paddenhoek,51.011148,3.638068
962,HEEN,Overmeerspark,51.003909,3.621099
962,HEEN,Kortrijkseheerweg,50.964672,3.596566
962,HEEN,Kortrijkseheerweg,50.964672,3.596566
962,HEEN,Duivelstraat,50.965999,3.655213
962,HEEN,Moleken,51.217435,3.44718
962,HEEN,Aardenburg Kalseide,51.225387,3.446955
962,HEEN,De Vaart,51.237182,3.447599
962,HEEN,Markt,51.273422,3.44968
962,HEEN,Sporthal,50.958526,3.608348
962,HEEN,Drongenplein,51.050388,3.662936
962,HEEN,Gentpoortstraat,50.986104,3.53029
962,HEEN,Catriestraat,51.063636,3.632402
962,HEEN,Station,51.046841,3.653645
962,HEEN,Luchterenstraat,51.064778,3.624318
962,HEEN,Zonnehoeve,50.939206,3.637852
962,HEEN,Station,50.996966,3.650839
962,HEEN,Den Duiver,51.005293,3.650213
962,HEEN,Stoofstraat,50.939695,3.625229
962,HEEN,Stoofstraat,50.939695,3.625229
962,HEEN,Baarle-Frankrijkstraat,51.029668,3.623194
962,HEEN,Bogaertstraat,51.024959,3.614879
962,HEEN,Dorp,51.019745,3.66876
962,HEEN,Museumlaan,51.010891,3.599057
962,HEEN,Langevelddreef,51.002196,3.644162
962,HEEN,Langevelddreef,51.002196,3.644162
962,HEEN,De Kroon,51.009082,3.632856
962,HEEN,Amerika,50.940506,3.568473
962,HEEN,Amerika,50.940506,3.568473
962,HEEN,Den Anker,50.965897,3.637734
962,HEEN,Vossenhol,50.967795,3.625591
962,HEEN,Vossenhol,50.967795,3.625591
962,HEEN,Lindekens,50.951294,3.573647
962,HEEN,Lindekens,50.951294,3.573647
962,HEEN,Dragonderwegel,50.953186,3.582665
962,HEEN,Leegzakstraat,50.951655,3.602361
962,HEEN,Leegzakstraat,50.951655,3.602361
